id,title,price(PKR),type,bedrooms,area(sq.yd),location,sector,features,contact,description
1,Flat in I-8 Sector #64,32022821,Apartment,2,140,I-8,8,"Backup electricity, CCTV",3571331946,Affordable housing with basic amenities
2,Office Space Jinnah Avenue #58,382610911,Commercial,3,679,Jinnah Avenue,NA,"Fiber internet, conference rooms",3293982640,Grade A office space in central business district
3,House in Margalla Hills #62,202979407,House,3,618,Margalla Hills,NA,"Mountain view, large garden",3343880323,Luxury hillside property with panoramic views
4,Affordable Flat F-11 #86,35556696,Apartment,3,173,F-11,4,"Backup generator, mosque nearby",3327123604,Cozy 2-bed apartment near main boulevard
5,Penthouse DHA Phase 1 #93,214776822,Apartment,1,363,DHA Phase 1,1,"Private terrace, jacuzzi",3020013268,Luxury top-floor unit with city views
6,Commercial Plaza Blue Area #70,461181179,Commercial,1,815,Blue Area,NA,"Central AC, elevator, parking",3220519591,Prime location commercial space with high foot traffic
7,Office Space Jinnah Avenue #84,369211940,Commercial,1,747,Jinnah Avenue,NA,"Fiber internet, conference rooms",3411583428,Grade A office space in central business district
8,Penthouse DHA Phase 1 #74,194969788,Apartment,6,393,DHA Phase 1,1,"Private terrace, jacuzzi",3489737400,Luxury top-floor unit with city views
9,Plot for Sale E-7 #3,66476196,Plot,NA,233,E-7,NA,"Corner plot, possession certificate",3905917752,Residential plot with clear ownership documents
10,Plot in DHA Phase 5 #13,80836570,Plot,NA,306,DHA Phase 5,5,"Park facing, approved layout",3321696516,Premium residential plot in gated community
11,Modern Flat DHA Phase 2 #62,75921141,Apartment,4,247,DHA Phase 2,7,"Swimming pool, gym, 24/7 security",3453635247,Spacious 3-bed with modern kitchen and balcony views
12,Flat in I-8 Sector #7,28844743,Apartment,6,164,I-8,8,"Backup electricity, CCTV",3966726637,Affordable housing with basic amenities
13,Affordable Flat F-11 #80,31746770,Apartment,3,194,F-11,4,"Backup generator, mosque nearby",3703093797,Cozy 2-bed apartment near main boulevard
14,Plot in E-11 #95,60954035,Plot,NA,206,E-11,11,"Corner location, approved",3534767659,Residential plot near main sectors
15,Plot in E-11 #36,48386454,Plot,NA,199,E-11,11,"Corner location, approved",3208908580,Residential plot near main sectors
16,Plot in DHA Phase 5 #84,76666626,Plot,NA,278,DHA Phase 5,5,"Park facing, approved layout",3489071382,Premium residential plot in gated community
17,House in Margalla Hills #24,169756966,House,2,543,Margalla Hills,NA,"Mountain view, large garden",3763407473,Luxury hillside property with panoramic views
18,Office Space Jinnah Avenue #21,368854370,Commercial,2,763,Jinnah Avenue,NA,"Fiber internet, conference rooms",3557476329,Grade A office space in central business district
19,Flat in I-8 Sector #91,30087326,Apartment,3,155,I-8,8,"Backup electricity, CCTV",3945462766,Affordable housing with basic amenities
20,Luxury Villa Bahria Town #5,132630197,House,5,733,Bahria Town,8,"Private pool, home theater",3071432180,Ultra-modern villa with smart home features
